"Dataset";"Insert.mean";"Mice_pmm";"VIM_knn";"VIM_hotdeck";"softImpute"
"ipums_la_99-small";NA;NA;NA;NA;NA
"adult";0,903;0,903;0,903;0,903;0,903
"eucalyptus";0,881;0,906;0,793;0,875;0,895
"dresses-sales";NA;NA;NA;NA;NA
"colic";0,757;0,667;0,667;0,732;0,757
"credit-approval";0,886;0,886;0,886;0,886;0,886
"sick";0,985;0,984;0,987;0,989;0,99
"labor";0,75;0,333;0,667;0,75;0,429
"SpeedDating";1;1;1;1;1
"stem-okcupid";NA;NA;NA;NA;NA
"hepatitis";0,4;0,5;0,667;0,4;0,444
"vote";0,965;0,966;0,965;0,966;0,965
"cylinder-bands";0,732;0,722;0,732;0,732;0,732
"echoMonths";0,774;0,812;0,774;0,774;0,774
